episode,timestep,reward
43,800,18.5581
83,1600,19.775
113,2400,26.1667
142,3200,28.4483
167,4000,32.0
191,4800,32.9167
212,5600,36.4286
229,6400,44.0
241,7200,72.9167
254,8000,62.3846
263,8800,89.1111
272,9600,87.5556
278,10400,117.6667
283,11200,145.6
286,12000,252.3333
290,12800,191.25
295,13600,192.6
298,14400,210.6667
301,15200,317.0
303,16000,358.5
307,16800,241.25
310,17600,255.0
313,18400,244.3333
316,19200,216.6667
318,20000,372.5
322,20800,282.0
324,21600,400.0
326,22400,400.0
328,23200,340.0
331,24000,252.0
334,24800,292.0
337,25600,296.3333
339,26400,392.5
341,27200,302.5
344,28000,297.0
346,28800,400.0
349,29600,271.6667
352,30400,300.6667
354,31200,362.5
356,32000,400.0
358,32800,372.0
361,33600,185.0
364,34400,304.6667
367,35200,347.6667
369,36000,400.0
371,36800,341.5
373,37600,287.0
376,38400,365.3333
378,39200,387.5
380,40000,329.5
382,40800,400.0
384,41600,400.0
387,42400,326.0
389,43200,400.0
391,44000,400.0
393,44800,400.0
395,45600,400.0
397,46400,400.0
399,47200,400.0
401,48000,400.0
403,48800,400.0
405,49600,289.5
407,50400,400.0
409,51200,400.0
411,52000,400.0
413,52800,400.0
415,53600,393.0
417,54400,400.0
419,55200,400.0
421,56000,400.0
425,56800,251.5
428,57600,228.0
431,58400,330.3333
433,59200,392.0
435,60000,400.0
437,60800,400.0
439,61600,400.0
441,62400,400.0
443,63200,299.5
446,64000,314.3333
448,64800,341.0
450,65600,336.5
452,66400,400.0
455,67200,298.3333
457,68000,400.0
459,68800,400.0
462,69600,317.3333
464,70400,369.5
466,71200,400.0
468,72000,341.5
471,72800,297.3333
473,73600,396.5
475,74400,331.0
478,75200,338.0
480,76000,400.0
482,76800,400.0
484,77600,374.5
487,78400,275.0
489,79200,400.0
491,80000,371.0
493,80800,400.0
495,81600,397.0
497,82400,400.0
499,83200,367.5
501,84000,400.0
504,84800,346.3333
507,85600,259.0
509,86400,400.0
511,87200,322.5
513,88000,387.5
516,88800,297.0
518,89600,400.0
520,90400,400.0
522,91200,348.5
524,92000,400.0
526,92800,400.0
528,93600,400.0
530,94400,400.0
532,95200,400.0
535,96000,303.6667
537,96800,400.0
539,97600,400.0
541,98400,400.0
543,99200,291.0
545,100000,400.0
